"","Contains fear","containes excitement"
"add",0.124736808240414,0.875263214111328
"added",0.079553060233593,0.920446932315826
"addiction",0.255671769380569,0.744328200817108
"adding",0.0682541355490685,0.931745886802673
"addition",0.126626044511795,0.873373985290527
"additional",0.162292465567589,0.83770751953125
"additionally",0.0988634899258614,0.901136577129364
"additives",0.300095021724701,0.699904978275299
"address",0.218920990824699,0.781078994274139
"addressable",0.328028351068497,0.671971619129181
"addressed",0.383906185626984,0.616093814373016
"addressing",0.113924615085125,0.886075377464294
"adecco",0.276002883911133,0.723997116088867
"adeiladu",0.208945021033287,0.791055023670197
"adept",0.266682356595993,0.733317613601685
"adequacy",0.592785894870758,0.407214134931564
"aditya",0.225068300962448,0.774931728839874
"adjust",0.408632516860962,0.591367483139038
"adjusted",0.195569857954979,0.804430186748505
"adjusting",0.375830858945847,0.624169170856476
"administration",0.330423206090927,0.669576823711395
"administrative",0.31148374080658,0.688516199588776
"administrator",0.277340859174728,0.722659111022949
"admiration",0.0242648497223854,0.975735127925873
"admission",0.162069946527481,0.837930023670197
"admit",0.18961338698864,0.810386538505554
"admitted",0.130900427699089,0.86909955739975
"admonition",0.177081063389778,0.822918891906738
"adnoddau",0.208015933632851,0.791984021663666
"adobe",0.121927358210087,0.878072679042816
"adon",0.206126973032951,0.793873012065887
"adopt",0.159820482134819,0.84017950296402
"adopted",0.298607468605042,0.701392531394958
"adopting",0.250656723976135,0.749343276023865
"adoption",0.0808564350008965,0.919143557548523
"adult",0.104889206588268,0.895110845565796
"advance",0.0141196819022298,0.985880315303802
"advanced",0.0417205467820168,0.958279430866241
"advancement",0.00732539920136333,0.992674589157104
"advances",0.0185090638697147,0.981490969657898
"advancing",0.0151485465466976,0.98485141992569
"advantage",0.260056406259537,0.739943563938141
"advantages",0.243496105074883,0.756503880023956
"advent",0.233792617917061,0.766207337379456
"adversarial",0.574939966201782,0.425060033798218
"adverse",0.331504583358765,0.668495416641235
"advert",0.117676116526127,0.882323920726776
"advertise",0.143756836652756,0.856243133544922
"advertisement",0.0838032811880112,0.916196703910828
"advertiser",0.13746802508831,0.862532019615173
"advertising",0.108504936099052,0.891495048999786
"advice",0.475213706493378,0.524786233901978
"advisable",0.138996213674545,0.861003816127777
"advise",0.0329889617860317,0.967011034488678
"adviser",0.113405577838421,0.886594414710999
"advising",0.0369838252663612,0.963016211986542
"advisor",0.174342945218086,0.825657069683075
"advisory",0.329011261463165,0.670988738536835
"advocacy",0.165849983692169,0.834149956703186
"advocated",0.0746746063232422,0.925325393676758
"advocates",0.16171133518219,0.83828866481781
"advocating",0.144077688455582,0.855922341346741
"aedts",0.308794915676117,0.691205084323883
"aerospace",0.0764433890581131,0.923556625843048
"aesthetic",0.174571856856346,0.825428128242493
"afael",0.361465513706207,0.638534486293793
"affair",0.0373450554907322,0.962654948234558
"affect",0.244367107748985,0.755632877349854
"affected",0.906854033470154,0.0931459367275238
"affecting",0.343963116407394,0.656036913394928
"affection",0.014179952442646,0.985820055007935
"affidavit",0.389137893915176,0.610862135887146
"affiliate",0.101456336677074,0.898543655872345
"affiliated",0.0753943920135498,0.92460560798645
"affiliates",0.0851443260908127,0.914855718612671
"affluent",0.0896743312478065,0.910325646400452
"afford",0.159606859087944,0.84039318561554
"affordable",0.136560842394829,0.863439202308655
"aforementioned",0.368091523647308,0.631908416748047
"afp",0.201218023896217,0.798781991004944
"afraid",0.981265723705292,0.0187342911958694
"africa",0.184428557753563,0.815571427345276
"african",0.465594470500946,0.534405529499054
"africana",0.255415230989456,0.744584739208221
"afternoon",0.107827067375183,0.892172873020172
"aftra",0.15534919500351,0.84465080499649
"ag",0.141372367739677,0.858627617359161
"age",0.146626010537148,0.853374004364014
"ageism",0.349802672863007,0.650197327136993
"agency",0.0990148782730103,0.90098512172699
"agenda",0.126651912927628,0.873348116874695
"agent",0.134388372302055,0.865611672401428
"aggregate",0.155374005436897,0.844626009464264
"aggressive",0.144107550382614,0.855892479419708
"agi",0.132704809308052,0.867295265197754
"agile",0.705445349216461,0.294554650783539
"ago",0.124751716852188,0.87524825334549
"agre",0.435354173183441,0.564645826816559
"agree",0.0570942759513855,0.942905724048615
"agreed",0.0487076230347157,0.951292335987091
"agreement",0.0306465700268745,0.969353437423706
"agricultural",0.146999806165695,0.853000223636627
"agriculture",0.165680065751076,0.83432000875473
"ahead",0.0389500260353088,0.961049914360046
"ai",0.102880083024502,0.897119879722595
"aiaas",0.157083839178085,0.842916131019592
"aiai",0.165561378002167,0.834438621997833
"aid",0.160183072090149,0.839816927909851
"aiding",0.305223673582077,0.694776296615601
"aiforgoodituint",0.497178852558136,0.502821147441864
"aig",0.216465398669243,0.783534586429596
"ailddefnyddio",0.295886486768723,0.7041135430336
"aim",0.116737462580204,0.883262574672699
"aimed",0.276209026575089,0.723790943622589
"aion",0.154414132237434,0.845585882663727
"air",0.0406628921627998,0.959337055683136
"airbus",0.0916649103164673,0.908335089683533
"airis",0.133759140968323,0.866240859031677
"airlifted",0.129923194646835,0.870076835155487
"airline",0.105743393301964,0.89425665140152
"airlines",0.106355123221874,0.893644869327545
"airplane",0.0662835761904716,0.933716416358948
"aivo",0.138427898287773,0.86157214641571
"akin",0.265270054340363,0.734729945659637
"akismet",0.355261892080307,0.644738078117371
"akjs",0.157750859856606,0.842249155044556
"al",0.124062813818455,0.875937223434448
"alamo",0.190341994166374,0.809658050537109
"alan",0.121136263012886,0.878863751888275
"alarm",0.372696071863174,0.627303957939148
"alarming",0.0450668781995773,0.954933106899261
"alaska",0.211142137646675,0.788857936859131
"albany",0.240921914577484,0.759078085422516
"albawaba",0.255788087844849,0.744211912155151
"albeit",0.260119318962097,0.739880740642548
"alcohol",0.150647968053818,0.84935200214386
"alec",0.256727635860443,0.743272364139557
"alert",0.0253972131758928,0.97460275888443
"alexa",0.185301572084427,0.814698457717896
"algae",0.319112360477448,0.680887639522552
"algaidd",0.221520319581032,0.778479635715485
"algal",0.219765082001686,0.780234932899475
"algau",0.24273918569088,0.757260859012604
"algorithm",0.215502634644508,0.784497380256653
"algorithmic",0.270824640989304,0.729175388813019
"alibaba",0.162819907069206,0.837180078029633
"alien",0.638655483722687,0.361344516277313
"align",0.135608837008476,0.864391207695007
"aligned",0.151497825980186,0.848502218723297
"alike",0.0698358118534088,0.930164158344269
"alleged",0.676618695259094,0.323381304740906
"allegedly",0.570355653762817,0.429644376039505
"allen",0.260926008224487,0.739073991775513
"alley",0.246404439210892,0.753595530986786
"allhttps",0.161061957478523,0.838937997817993
"allianz",0.224240064620972,0.775759935379028
"allocation",0.194003850221634,0.805996119976044
"allowed",0.171640187501907,0.82835978269577
"allowing",0.0251943413168192,0.97480571269989
"ally",0.11938651651144,0.880613446235657
"alm",0.292491167783737,0.70750880241394
"alongside",0.0890238359570503,0.91097617149353
"alphabet",0.225105345249176,0.774894654750824
"alphinity",0.194693922996521,0.805306077003479
"alter",0.415195852518082,0.584804117679596
"altered",0.504472970962524,0.495527029037476
"altering",0.713507056236267,0.286492913961411
"alternative",0.429020434617996,0.570979595184326
"alternatively",0.311453372240067,0.688546597957611
"alternatives",0.429263472557068,0.570736527442932
"altexsoft",0.528818070888519,0.471181958913803
"altman",0.207144677639008,0.792855322360992
"altogether",0.116133071482182,0.883866965770721
"alzheimer",0.374570250511169,0.625429689884186
"amadeus",0.238849148154259,0.76115083694458
"amateur",0.127994567155838,0.872005462646484
"amazed",0.302716583013535,0.697283446788788
"amazing",0.0068906070664525,0.993109405040741
"amazon",0.143882170319557,0.856117784976959
"ambassador",0.10649036616087,0.89350962638855
"ambiguous",0.184123814105988,0.815876185894012
"ambition",0.157882079482079,0.842117965221405
"ambitious",0.0103276772424579,0.989672303199768
"amddiffyn",0.330764412879944,0.669235587120056
"amelia",0.20595920085907,0.79404079914093
"america",0.250287145376205,0.749712884426117
"americade",0.324092775583267,0.67590719461441
"american",0.185221761465073,0.814778208732605
"amgylchedd",0.293316334486008,0.70668363571167
"amid",0.494778424501419,0.505221605300903
"amin",0.12031602114439,0.879683971405029
"amledd",0.297935128211975,0.702064871788025
"amount",0.242467612028122,0.7575324177742
"ample",0.160664498806,0.839335501194
"amplification",0.344750940799713,0.655249059200287
"amplify",0.246831625699997,0.753168344497681
"amplifying",0.230432897806168,0.76956707239151
"amplitude",0.203977003693581,0.796022951602936
"amser",0.35385724902153,0.646142721176147
"amusing",0.337323516607285,0.662676453590393
"amzn",0.159230411052704,0.840769588947296
"analogy",0.259625047445297,0.740374982357025
"analyse",0.200849205255508,0.799150764942169
"analysed",0.874504745006561,0.125495195388794
"analysing",0.342620670795441,0.657379388809204
"analysis",0.357755392789841,0.642244637012482
"analyst",0.673054158687592,0.326945811510086
"analytic",0.287810325622559,0.712189674377441
"analyze",0.12399934232235,0.876000702381134
"analyzed",0.192444086074829,0.807555913925171
"analyzes",0.183498471975327,0.816501498222351
"analyzing",0.134386345744133,0.865613698959351
"andrea",0.25242617726326,0.747573792934418
"andrew",0.196062088012695,0.803937911987305
"andy",0.100002631545067,0.899997353553772
"anecdote",0.323487818241119,0.676512181758881
"anger",0.509365320205688,0.490634679794312
"angered",0.843204498291016,0.156795486807823
"angle",0.109704025089741,0.89029598236084
"angst",0.276130735874176,0.723869264125824
"animal",0.10162303596735,0.898376941680908
"animate",0.0567814484238625,0.943218529224396
"animation",0.0323290452361107,0.967670977115631
"anise",0.256016820669174,0.743983149528503
"annatto",0.298881411552429,0.701118588447571
"announce",0.0305410418659449,0.969458937644958
"announced",0.0465900078415871,0.953409969806671
"announcement",0.0439334213733673,0.956066608428955
"announcing",0.0150492191314697,0.984950721263885
"annual",0.147086352109909,0.852913677692413
"annually",0.0958362221717834,0.904163777828217
"ansawdd",0.35650360584259,0.64349639415741
"answer",0.131027266383171,0.868972718715668
"answered",0.462216883897781,0.537783145904541
"answerer",0.632704079151154,0.367295920848846
"answering",0.592864155769348,0.407135814428329
"anthony",0.128832817077637,0.871167182922363
"anthropic",0.0896637812256813,0.910336256027222
"anti",0.287120848894119,0.712879121303558
"antibiotic",0.335540384054184,0.664459586143494
"anticipate",0.0176775082945824,0.982322514057159
"anticipated",0.114737778902054,0.885262191295624
"anticipating",0.0183667410165071,0.981633245944977
"anticipation",0.0168678872287273,0.983132064342499
"antivirus",0.665851950645447,0.334148049354553
"antonio",0.18876414000988,0.811235904693604
"antonioguterres",0.317078441381454,0.682921588420868
"antony",0.135790809988976,0.864209175109863
"anus",0.26667720079422,0.733322858810425
"anwarul",0.523993790149689,0.476006209850311
"anxiety",0.982146143913269,0.0178538635373116
"anxious",0.448706835508347,0.551293194293976
"anymore",0.126520469784737,0.873479545116425
"aolain",0.30282336473465,0.69717663526535
"ap",0.126212671399117,0.873787403106689
"apis",0.190767884254456,0.809232115745544
"apologize",0.525575578212738,0.474424421787262
"app",0.0846569463610649,0.915343046188354
"appalachian",0.237382277846336,0.762617707252502
"apparatus",0.188728749752045,0.811271250247955
"apparent",0.0631601810455322,0.936839818954468
"apparently",0.0549501143395901,0.94504988193512
"appealed",0.0365207828581333,0.963479220867157
"appear",0.0543356202542782,0.945664346218109
"appearances",0.0537385158240795,0.946261525154114
"appeared",0.185421898961067,0.814578056335449
"appearing",0.0356785617768764,0.964321494102478
"appendix",0.203047320246696,0.796952724456787
"apple",0.0645518377423286,0.935448229312897
"appliances",0.182482272386551,0.817517757415771
"applicable",0.340311825275421,0.659688234329224
"applicant",0.161173418164253,0.838826596736908
"application",0.0756272226572037,0.924372792243958
"applied",0.11599538475275,0.884004592895508
"apply",0.153617709875107,0.846382260322571
"applying",0.142312198877335,0.857687830924988
"appointed",0.0687401592731476,0.93125981092453
"appointment",0.0170551221817732,0.982944905757904
"appraisal",0.562133610248566,0.437866389751434
"appreciated",0.0111819365993142,0.988818049430847
"apprehension",0.717640697956085,0.282359272241592
"approach",0.0174164976924658,0.982583582401276
"approaching",0.0141183203086257,0.985881686210632
"appropriately",0.0881623402237892,0.911837637424469
"appropriateness",0.436736941337585,0.563263058662415
"appropriation",0.304007411003113,0.695992588996887
"approval",0.0134305180981755,0.986569464206696
"approved",0.0534769780933857,0.946523010730743
"approximately",0.115029692649841,0.884970307350159
"april",0.379278779029846,0.620721220970154
"ar",0.13133604824543,0.868663907051086
"arab",0.257484406232834,0.742515563964844
"arabia",0.243152186274529,0.75684779882431
"arabic",0.38434249162674,0.61565750837326
"arbed",0.360571622848511,0.639428377151489
"architect",0.148540705442429,0.851459264755249
"architectural",0.152488827705383,0.847511172294617
"archive",0.146249607205391,0.853750348091125
"archives",0.158555403351784,0.841444611549377
"aren",0.150500997900963,0.849499046802521
"arguably",0.0962584763765335,0.903741538524628
"argue",0.307306110858917,0.692693889141083
"argued",0.322209656238556,0.677790284156799
"argues",0.296420603990555,0.703579425811768
"arguing",0.203378036618233,0.796621918678284
"argument",0.465457230806351,0.534542739391327
"ariannu",0.19339294731617,0.806607007980347
"arion",0.209758803248405,0.790241181850433
"arise",0.169883027672768,0.830116987228394
"arithmetic",0.288470834493637,0.711529195308685
"arizona",0.172680079936981,0.827319979667664
"arizonan",0.24924348294735,0.750756561756134
"ark",0.131493419408798,0.868506550788879
"arkansas",0.275696575641632,0.724303483963013
"arloesedd",0.265107244253159,0.734892785549164
"arloesi",0.22401474416256,0.775985240936279
"arloesol",0.391376286745071,0.608623683452606
"arm",0.131033003330231,0.868966937065125
"arnold",0.313875108957291,0.686124920845032
"aroon",0.236850395798683,0.763149559497833
"arose",0.462273210287094,0.537726759910583
"arrangement",0.159559592604637,0.840440452098846
"array",0.187008261680603,0.812991738319397
"arrest",0.897287786006927,0.102712273597717
"arrested",0.627002418041229,0.372997552156448
"arrival",0.139476016163826,0.860523998737335
"arrive",0.0236135348677635,0.976386487483978
"arrived",0.706692397594452,0.293307602405548
"arriving",0.0315456613898277,0.968454360961914
"art",0.0705478489398956,0.929452180862427
"arthur",0.432919234037399,0.567080795764923
"article",0.0960342213511467,0.903965771198273
"articles",0.0796172544360161,0.920382738113403
"artifact",0.231797426939011,0.768202602863312
"artiffisial",0.25241619348526,0.74758380651474
"artificial",0.140823066234589,0.859176933765411
"artist",0.070909209549427,0.929090797901154
"artwork",0.0890666022896767,0.910933375358582
"arup",0.166312053799629,0.833687961101532
"arvind",0.171461775898933,0.828538179397583
"ascertain",0.618585407733917,0.381414622068405
"ashlyn",0.186173215508461,0.813826858997345
"ashwin",0.139157086610794,0.860842943191528
"asia",0.0836970806121826,0.916302919387817
"asian",0.147407218813896,0.852592825889587
"asiapacific",0.340369641780853,0.659630417823792
"askai",0.193012788891792,0.806987226009369
"askmarciecom",0.252045571804047,0.747954487800598
"asm",0.410073578357697,0.589926421642303
"asml",0.176681712269783,0.823318302631378
"aspect",0.103917181491852,0.896082818508148
"aspen",0.193613842129707,0.806386172771454
"aspenlieder",0.305252343416214,0.694747686386108
"aspiration",0.0333411432802677,0.966658890247345
"assembly",0.126756817102432,0.873243153095245
"assert",0.130917504429817,0.869082450866699
"asserted",0.149527058005333,0.850472927093506
"asses",0.192138880491257,0.807861089706421
"assessed",0.466427981853485,0.533572018146515
"assessing",0.397308737039566,0.602691292762756
"assessment",0.287583380937576,0.712416589260101
"asset",0.344887644052505,0.655112385749817
"assign",0.497906267642975,0.502093732357025
"assigning",0.243376985192299,0.756623029708862
"assignment",0.264935582876205,0.735064446926117
"assimilating",0.020828003063798,0.979171991348267
"assist",0.400643944740295,0.599356114864349
"assistance",0.189687728881836,0.810312271118164
"assistant",0.170326218008995,0.829673826694489
"assisted",0.0906343162059784,0.909365713596344
"assisting",0.286415278911591,0.713584721088409
"associate",0.14475005865097,0.855249881744385
"associates",0.157627582550049,0.842372417449951
"association",0.112939693033695,0.887060344219208
"assuage",0.609820544719696,0.390179395675659
"assume",0.1794663220644,0.820533633232117
"assuming",0.111953914165497,0.888046145439148
"assumption",0.075416587293148,0.924583435058594
"assumptionsandlimitations",0.763477563858032,0.236522376537323
"assurance",0.0857532247900963,0.914246737957001
"assured",0.185590371489525,0.814409673213959
"astounded",0.635599672794342,0.364400297403336
"astrazeneca",0.630998313426971,0.369001746177673
"astronaut",0.0957678854465485,0.904232144355774
"astronomer",0.264478981494904,0.735521018505096
"astronomically",0.254846006631851,0.745153963565826
"atandt",0.234202846884727,0.765797138214111
"ateb",0.164156064391136,0.835843920707703
"atebion",0.220429226756096,0.779570758342743
"athttps",0.312313705682755,0.687686324119568
"atlantic",0.144117712974548,0.855882227420807
"atmosphere",0.0661759674549103,0.933824002742767
"atomic",0.070219598710537,0.929780423641205
"atomwise",0.139094740152359,0.860905289649963
"atrophying",0.736381888389587,0.263618111610413
"attached",0.367074906826019,0.632925152778625
"attack",0.667610585689545,0.332389414310455
"attacker",0.347117036581039,0.652882993221283
"attain",0.398041218519211,0.601958751678467
"attempt",0.514392375946045,0.485607594251633
"attempted",0.455083042383194,0.544916987419128
"attempting",0.533942759037018,0.466057240962982
"attend",0.0575447678565979,0.942455232143402
"attended",0.0719866678118706,0.928013324737549
"attending",0.135469675064087,0.864530324935913
"attention",0.0467419512569904,0.953258037567139
"attorney",0.102956026792526,0.897043943405151
"attract",0.298882812261581,0.701117157936096
"attractive",0.0599956996738911,0.940004289150238
"attributed",0.215243145823479,0.784756898880005
"attributes",0.0656577572226524,0.934342265129089
"attribution",0.223983347415924,0.776016652584076
"audience",0.0147023890167475,0.985297620296478
"audiences",0.0156407225877047,0.984359264373779
"audio",0.0733390226960182,0.92666095495224
"audit",0.0596464835107327,0.940353512763977
"audition",0.0484149046242237,0.951585114002228
"augment",0.190032079815865,0.809967935085297
"augmented",0.297674566507339,0.702325463294983
"august",0.0918442904949188,0.908155679702759
"aus",0.317162722349167,0.682837247848511
"austin",0.460581600666046,0.539418458938599
"australia",0.226398676633835,0.773601353168488
"australian",0.189642339944839,0.810357689857483
"authentic",0.170808926224709,0.829191088676453
"authentication",0.12050174921751,0.879498243331909
"authenticity",0.128095224499702,0.871904790401459
"author",0.128964439034462,0.871035575866699
"authored",0.194778874516487,0.805221140384674
"authoritarian",0.350227445363998,0.649772524833679
"authority",0.231301993131638,0.76869797706604
"authorized",0.118882775306702,0.881117224693298
"authorship",0.159740224480629,0.840259790420532
"auto",0.102916188538074,0.897083818912506
"autocomplete",0.12459184974432,0.875408172607422
"automaker",0.190735533833504,0.809264481067657
"automate",0.169737577438354,0.830262422561646
"automated",0.182919844985008,0.817080140113831
"automatic",0.184478431940079,0.815521597862244
"automatically",0.0660109147429466,0.933989107608795
"automating",0.138136178255081,0.861863851547241
"automation",0.11250413954258,0.887495875358582
"automobile",0.0987095162272453,0.901290476322174
"automotive",0.081978015601635,0.918021976947784
"autonomous",0.1333227455616,0.866677224636078
"autonomously",0.134428769350052,0.865571200847626
"autopilot",0.0955330803990364,0.904466927051544
"avaamo",0.172790989279747,0.827208995819092
"availability",0.053586982190609,0.946413040161133
"average",0.210942894220352,0.789057075977325
"aviation",0.242090135812759,0.757909834384918
"avoid",0.803663730621338,0.19633623957634
"aw",0.150260433554649,0.849739551544189
"await",0.376662135124207,0.623337805271149
"awaited",0.0500570647418499,0.949942946434021
"awarded",0.279202967882156,0.720797002315521
"aware",0.0894282534718513,0.910571813583374
"awareness",0.188145354390144,0.811854660511017
"awash",0.39157497882843,0.60842502117157
"axon",0.199010327458382,0.800989747047424
"azeem",0.117042802274227,0.882957220077515
"azhar",0.207878783345222,0.792121171951294
"ba",0.131044447422028,0.868955612182617
"baby",0.0648232474923134,0.935176730155945
"bachelor",0.0768587440252304,0.923141181468964
"backdoor",0.471163481473923,0.5288365483284
"backer",0.217419937252998,0.782580077648163
"backfired",0.915164113044739,0.0848358869552612
"background",0.149472251534462,0.850527763366699
"bacteria",0.266025513410568,0.733974516391754
"bad",0.758290827274323,0.241709187626839
"bag",0.178486227989197,0.821513831615448
"baidu",0.259455412626266,0.740544617176056
"balance",0.0900727510452271,0.909927248954773
"balanced",0.157554134726524,0.842445850372314
"balancing",0.057268463075161,0.942731559276581
"ball",0.144382879137993,0.855617105960846
"balzac",0.62222945690155,0.377770572900772
"ban",0.394317239522934,0.605682730674744
"banded",0.306111812591553,0.693888187408447
"bandler",0.216611906886101,0.783388078212738
"bang",0.0852665081620216,0.914733529090881
"bangkok",0.136940345168114,0.86305969953537
"bangladesh",0.168330058455467,0.831669986248016
"bangor",0.258123427629471,0.741876602172852
"bangordailynewscom",0.13395519554615,0.866044759750366
"bank",0.126958832144737,0.873041212558746
"banking",0.388014227151871,0.611985802650452
"banned",0.851124703884125,0.148875296115875
"banning",0.700556755065918,0.299443244934082
"bar",0.16515702009201,0.834843039512634
"barber",0.215901851654053,0.784098148345947
"bard",0.132974967360497,0.867025017738342
"barely",0.584364175796509,0.415635854005814
"barrier",0.390197962522507,0.609802067279816
"barry",0.458980053663254,0.541019976139069
"base",0.175171002745628,0.82482898235321
"baseball",0.0790534019470215,0.920946657657623
"based",0.110678285360336,0.889321684837341
"basic",0.231589391827583,0.768410623073578
"basically",0.219784393906593,0.780215620994568
"basis",0.382122755050659,0.617877244949341
"bassam",0.17952473461628,0.820475339889526
"basu",0.22777396440506,0.77222603559494
"bath",0.443529456853867,0.556470513343811
"batter",0.383289098739624,0.616710901260376
"battery",0.0646470934152603,0.935352921485901
"baumannii",0.21019783616066,0.789802193641663
"bawaba",0.262385427951813,0.737614572048187
"bay",0.117129616439342,0.882870376110077
"bayer",0.353246569633484,0.646753430366516
"bbc",0.165265962481499,0.83473402261734
"bci",0.202312976121902,0.79768705368042
"bco",0.189659595489502,0.810340464115143
"bdn",0.15623976290226,0.843760251998901
"bear",0.28925296664238,0.710747003555298
"beat",0.0903549343347549,0.909645080566406
"beating",0.170955747365952,0.829044282436371
"beau",0.150088340044022,0.849911630153656
"beauty",0.00853387452661991,0.991466104984283
"beckon",0.227246850728989,0.772753179073334
"bedroom",0.0849573016166687,0.915042698383331
"beer",0.0628234148025513,0.937176585197449
"begging",0.0876960679888725,0.912303924560547
"begin",0.111858479678631,0.888141512870789
"beginning",0.0664028227329254,0.933597207069397
"begun",0.656836807727814,0.343163192272186
"behalf",0.463507980108261,0.536491990089417
"behavior",0.0727433934807777,0.92725658416748
"behaviour",0.157894507050514,0.842105448246002
"behaviours",0.190864592790604,0.809135377407074
"behrens",0.355099380016327,0.644900619983673
"beijing",0.123705998063087,0.876294016838074
"belief",0.0423584431409836,0.957641541957855
"believable",0.0125518338754773,0.987448155879974
"believed",0.0170272998511791,0.982972741127014
"believing",0.0207679606974125,0.979232013225555
"bell",0.188018798828125,0.81198126077652
"bellacosa",0.282041043043137,0.717958986759186
"belong",0.0864609032869339,0.913539111614227
"bender",0.11801140755415,0.88198858499527
"benefit",0.0441891513764858,0.955810785293579
"benefiting",0.0480965450406075,0.951903402805328
"benevolentai",0.77597439289093,0.224025622010231
"bengio",0.242259413003922,0.757740616798401
"benign",0.344497799873352,0.655502200126648
"berg",0.13588759303093,0.864112436771393
"berkeley",0.209134310483932,0.790865659713745
"berkshire",0.212001442909241,0.787998557090759
"berman",0.112192437052727,0.887807548046112
"bert",0.142682731151581,0.857317268848419
"bet",0.15114326775074,0.848856747150421
"betting",0.228888869285583,0.771111130714417
"bev",0.14522098004818,0.854779005050659
"beverage",0.758671283721924,0.241328731179237
"beverages",0.773390829563141,0.226609140634537
"beware",0.779567122459412,0.220432832837105
"bfsi",0.284476488828659,0.715523481369019
"bharos",0.397076696157455,0.602923274040222
"bhaskar",0.28511780500412,0.714882254600525
"bias",0.854067325592041,0.145932704210281
"biased",0.784009516239166,0.21599055826664
"bick",0.450900316238403,0.549099683761597
"bid",0.17374949157238,0.826250493526459
"biden",0.212855607271194,0.787144362926483
"bidirectional",0.258610129356384,0.741389870643616
"bifurcated",0.572416722774506,0.427583277225494
